# ----------------------------------------
# Alle Websitedaten
# Ereignisseiten
# 20160101-20170131
# ----------------------------------------

Seite,Ereignisse gesamt,Eindeutige Ereignisse,Ereigniswert,Durchschn. Wert
/praktikumsplatz/schuelerpraktikum_de/1842,7,7,13.695,"1.956,43"
/praktikumsplatz/schuelerpraktikum_de/1837,4,4,6.829,"1.707,25"
/praktikumsplatz/schuelerpraktikum_de/1835,4,4,6.822,"1.705,50"
/praktikumsplatz/schuelerpraktikum_de/1834,11,11,20.454,"1.859,45"
/praktikumsplatz/schuelerpraktikum_de/1829,19,15,33.996,"1.789,26"
/praktikumsplatz/schuelerpraktikum_de/1823,145,126,264.302,"1.822,77"
/praktikumsplatz/schuelerpraktikum_de/1818,19,7,33.792,"1.778,53"
/praktikumsplatz/schuelerpraktikum_de/1817,4,4,6.755,"1.688,75"
/praktikumsplatz/schuelerpraktikum_de/1810,7,7,13.457,"1.922,43"
/praktikumsplatz/schuelerpraktikum_de/1801,4,4,6.695,"1.673,75"
/praktikumsplatz/schuelerpraktikum_de/1795,4,4,6.673,"1.668,25"
/praktikumsplatz/schuelerpraktikum_de/1791,7,7,13.316,"1.902,29"
/praktikumsplatz/schuelerpraktikum_de/1788,11,7,19.941,"1.812,82"
/praktikumsplatz/schuelerpraktikum_de/1773,15,15,26.364,"1.757,60"
/praktikumsplatz/schuelerpraktikum_de/1771,4,4,6.584,"1.646,00"
/praktikumsplatz/schuelerpraktikum_de/1770,4,4,6.580,"1.645,00"
/praktikumsplatz/schuelerpraktikum_de/1766,4,4,6.565,"1.641,25"
/praktikumsplatz/schuelerpraktikum_de/1762,4,4,6.550,"1.637,50"
/praktikumsplatz/schuelerpraktikum_de/1760,7,4,13.086,"1.869,43"
/praktikumsplatz/schuelerpraktikum_de/1757,7,7,13.063,"1.866,14"
/praktikumsplatz/schuelerpraktikum_de/1740,4,4,6.468,"1.617,00"
/praktikumsplatz/schuelerpraktikum_de/1737,4,4,6.457,"1.614,25"
/praktikumsplatz/schuelerpraktikum_de/1736,7,7,12.907,"1.843,86"
/praktikumsplatz/schuelerpraktikum_de/1729,7,7,12.855,"1.836,43"
/praktikumsplatz/schuelerpraktikum_de/1713,4,4,6.368,"1.592,00"
/praktikumsplatz/schuelerpraktikum_de/1711,4,4,6.361,"1.590,25"
/praktikumsplatz/schuelerpraktikum_de/1705,4,4,6.338,"1.584,50"
/praktikumsplatz/schuelerpraktikum_de/1704,4,4,6.335,"1.583,75"
/praktikumsplatz/schuelerpraktikum_de/1702,4,4,6.327,"1.581,75"
/praktikumsplatz/schuelerpraktikum_de/1700,7,4,12.639,"1.805,57"
/praktikumsplatz/schuelerpraktikum_de/1699,26,19,44.212,"1.700,46"
/praktikumsplatz/schuelerpraktikum_de/1698,4,4,6.312,"1.578,00"
/praktikumsplatz/schuelerpraktikum_de/1697,4,4,6.309,"1.577,25"
/praktikumsplatz/schuelerpraktikum_de/1695,4,4,6.301,"1.575,25"
/praktikumsplatz/schuelerpraktikum_de/1691,11,11,18.859,"1.714,45"
/praktikumsplatz/schuelerpraktikum_de/1690,7,7,12.565,"1.795,00"
/praktikumsplatz/schuelerpraktikum_de/1681,4,4,6.249,"1.562,25"
/praktikumsplatz/schuelerpraktikum_de/1678,4,4,6.238,"1.559,50"
